Vgs,lds,technology
4.195249440388673,,PMOS
3.709503553752086,,PMOS
3.704210133864091,,PMOS
3.6521366622445735,,PMOS
3.5189416841039125,,PMOS
3.4771919989864357,,PMOS
3.4266974917344304,,PMOS
3.4202680999787285,,PMOS
3.3743206877207177,,PMOS
3.3695811901666275,,PMOS
3.3290472607459716,,PMOS
3.324267999221467,,PMOS
3.2927464741599812,,PMOS
3.232346710693901,,PMOS
3.2108751617373485,,PMOS
3.1765462296714504,,PMOS
3.1686059780587943,,PMOS
3.165322606602155,,PMOS
3.155981665476023,,PMOS
3.13130033571493,,PMOS
3.1176688922290055,,PMOS
3.068077348892544,,PMOS
3.0600988573890824,,PMOS
3.0599839955452395,,PMOS
3.0489786026415295,,PMOS
3.047954802310732,,PMOS
3.0260882207923583,,PMOS
3.022595610533236,,PMOS
3.000773465234782,,PMOS
2.9878491036102255,,PMOS
2.987104390967892,,PMOS
2.9863360676070902,,PMOS
2.9861320163742433,,PMOS
2.9855233724138293,,PMOS
2.9709367994323874,,PMOS
2.970122120746282,,PMOS
2.9682890309967016,,PMOS
2.9472841033002317,,PMOS
2.938106547522113,,PMOS
2.9317716252632615,,PMOS
2.9269779677622814,,PMOS
2.918786821946936,,PMOS
2.9183816738237294,,PMOS
2.910084452970627,,PMOS
2.895209460612723,,PMOS
2.894746579061728,,PMOS
2.877592381748771,,PMOS
2.8647580048925807,,PMOS
2.8616265756027546,,PMOS
2.8495783206393783,,PMOS
2.844241030784525,,PMOS
2.8434503579346666,,PMOS
2.8369363940558285,,PMOS
2.8313944169009972,,PMOS
2.8274070831127958,,PMOS
2.8245189323958426,,PMOS
2.814191990684578,,PMOS
2.813596023914802,,PMOS
2.8131076871065486,,PMOS
2.809700037570623,,PMOS
2.8045686485935275,,PMOS
2.798625344796695,,PMOS
2.7951020915641225,,PMOS
2.7901465199534097,,PMOS
2.781596562776194,,PMOS
2.7700062852834897,,PMOS
2.755256338899653,,PMOS
2.7507619889480037,,PMOS
2.7451795248105912,,PMOS
2.739280903984259,,PMOS
2.739056292429207,,PMOS
2.7370748908562277,,PMOS
2.7356838174850506,,PMOS
2.733750509339452,,PMOS
2.7311382366066166,,PMOS
2.7310669608909706,,PMOS
2.730214342923132,,PMOS
2.7207004036574816,,PMOS
2.7129865665215886,,PMOS
2.7096259026139053,,PMOS
2.706098799342967,,PMOS
2.6947613935200847,,PMOS
2.6926309084319215,,PMOS
2.6826564597801075,,PMOS
2.6758657721509143,,PMOS
2.673455132829037,,PMOS
2.6645692333321263,,PMOS
2.66222958590373,,PMOS
2.6518746593675067,,PMOS
2.6499445777602144,,PMOS
2.6426731690931624,,PMOS
2.6418892794251723,,PMOS
2.638587547225995,,PMOS
2.6363406578945328,,PMOS
2.6311810551899684,,PMOS
2.623834702352077,,PMOS
2.6228356730738205,,PMOS
2.6202462147196153,,PMOS
2.6195316079937765,,PMOS
2.6177095331325195,,PMOS
2.612786526348175,,PMOS
2.5878578838997264,,PMOS
2.5851251569561504,,PMOS
2.5785427978897815,,PMOS
2.5782726897819352,,PMOS
2.5738329119306265,,PMOS
2.5702445530535583,,PMOS
2.5680926615425586,,PMOS
2.567238628347281,,PMOS
2.5628981571992995,,PMOS
2.5597601569008033,,PMOS
2.5527171032477733,,PMOS
2.550622413927977,,PMOS
2.5500388302330514,,PMOS
2.5432270396255827,,PMOS
2.5342230198411526,,PMOS
2.5316759082437947,,PMOS
2.5247624315995987,,PMOS
2.524739603793946,,PMOS
2.521835514481848,,PMOS
2.5185356487994235,,PMOS
2.5154763911233338,,PMOS
2.51437812234831,,PMOS
2.5108838184151128,,PMOS
2.5087307843030313,,PMOS
2.5048712570327223,,PMOS
2.503800979012306,,PMOS
2.5037335779085583,,PMOS
2.502132808913466,,PMOS
2.5008351670444555,,PMOS
2.495113826388334,,PMOS
2.494837498302011,,PMOS
2.4881966202244783,,PMOS
2.484974742213223,,PMOS
2.4812341247432217,,PMOS
2.4803302582486038,,PMOS
2.479785438168348,,PMOS
2.4789401037718104,,PMOS
2.478739660087724,,PMOS
2.4784408136925484,,PMOS
2.478018726301958,,PMOS
2.4720034717333794,,PMOS
2.467522687170419,,PMOS
2.4666709759541114,,PMOS
2.46487640172028,,PMOS
2.464671677365529,,PMOS
2.451300599253796,,PMOS
2.4495965588085338,,PMOS
2.4455250828862423,,PMOS
2.445329598982748,,PMOS
2.444042150064738,,PMOS
2.4393123670762833,,PMOS
2.438271867909317,,PMOS
2.435166731107119,,PMOS
2.434551086936662,,PMOS
2.42873699942925,,PMOS
2.4285486262866955,,PMOS
2.425466976214854,,PMOS
2.424934368234579,,PMOS
2.4204767128245854,,PMOS
2.4132930886624466,,PMOS
2.4121911880309037,,PMOS
2.4103473518374092,,PMOS
2.4094308495874337,,PMOS
2.407915619787996,,PMOS
2.406049127808507,,PMOS
2.4047143193672498,,PMOS
2.4046511061015856,,PMOS
2.4018530511441605,,PMOS
2.3978796756125447,,PMOS
2.3950519517729303,,PMOS
2.3943794943715657,,PMOS
2.3936068985521453,,PMOS
2.3912693284976965,,PMOS
2.3911063970874205,,PMOS
2.390951253142792,,PMOS
2.3896203780405054,,PMOS
2.3895885406622117,,PMOS
2.3866087001668226,,PMOS
2.3856192938852083,,PMOS
2.3818478474986917,,PMOS
2.3753309643627567,,PMOS
2.375001172740905,,PMOS
2.371687148125255,,PMOS
